CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
41540,,480,"Salisbury, MD-DE",,"Salisbury-Cambridge, MD-DE",Wicomico County,Maryland,24,045,Central
41540,,480,"Salisbury, MD-DE",,"Salisbury-Cambridge, MD-DE",Worcester County,Maryland,24,047,Outlying
41620,,482,"Salt Lake City, UT",,"Salt Lake City-Provo-Orem, UT",Salt Lake County,Utah,49,035,Central
41620,,482,"Salt Lake City, UT",,"Salt Lake City-Provo-Orem, UT",Tooele County,Utah,49,045,Outlying
41660,,,"San Angelo, TX",,,Irion County,Texas,48,235,Outlying
41660,,,"San Angelo, TX",,,Sterling County,Texas,48,431,Outlying
41660,,,"San Angelo, TX",,,Tom Green County,Texas,48,451,Central
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Atascosa County,Texas,48,013,Outlying
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Bandera County,Texas,48,019,Outlying
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Bexar County,Texas,48,029,Central
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Comal County,Texas,48,091,Central
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Guadalupe County,Texas,48,187,Central
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Kendall County,Texas,48,259,Outlying
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Medina County,Texas,48,325,Outlying
41700,,484,"San Antonio-New Braunfels, TX",,"San Antonio-New Braunfels-Pearsall, TX",Wilson County,Texas,48,493,Outlying
41740,,,"San Diego-Chula Vista-Carlsbad, CA",,,San Diego County,California,06,073,Central
41860,36084,488,"San Francisco-Oakland-Berkeley, CA","Oakland-Berkeley-Livermore, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,06,001,Central
41860,36084,488,"San Francisco-Oakland-Berkeley, CA","Oakland-Berkeley-Livermore, CA","San Jose-San Francisco-Oakland, CA",Contra Costa County,California,06,013,Outlying
41860,41884,488,"San Francisco-Oakland-Berkeley, CA","San Francisco-San Mateo-Redwood City, CA","San Jose-San Francisco-Oakland, CA",San Francisco County,California,06,075,Central
41860,41884,488,"San Francisco-Oakland-Berkeley, CA","San Francisco-San Mateo-Redwood City, CA","San Jose-San Francisco-Oakland, CA",San Mateo County,California,06,081,Central
41860,42034,488,"San Francisco-Oakland-Berkeley, CA","San Rafael, CA","San Jose-San Francisco-Oakland, CA",Marin County,California,06,041,Central
41900,,364,"San Germán, PR",,"Mayagüez-San Germán, PR",Cabo Rojo Municipio,Puerto Rico,72,023,Central
41900,,364,"San Germán, PR",,"Mayagüez-San Germán, PR",Lajas Municipio,Puerto Rico,72,079,Central
41900,,364,"San Germán, PR",,"Mayagüez-San Germán, PR",Sabana Grande Municipio,Puerto Rico,72,121,Central
41900,,364,"San Germán, PR",,"Mayagüez-San Germán, PR",San Germán Municipio,Puerto Rico,72,125,Central
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",,"San Jose-San Francisco-Oakland, CA",San Benito County,California,06,069,Outlying
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",,"San Jose-San Francisco-Oakland, CA",Santa Clara County,California,06,085,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Aguas Buenas Municipio,Puerto Rico,72,007,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Aibonito Municipio,Puerto Rico,72,009,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Barceloneta Municipio,Puerto Rico,72,017,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Barranquitas Municipio,Puerto Rico,72,019,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Bayamón Municipio,Puerto Rico,72,021,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Caguas Municipio,Puerto Rico,72,025,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Canóvanas Municipio,Puerto Rico,72,029,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Carolina Municipio,Puerto Rico,72,031,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Cataño Municipio,Puerto Rico,72,033,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Cayey Municipio,Puerto Rico,72,035,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Ceiba Municipio,Puerto Rico,72,037,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Ciales Municipio,Puerto Rico,72,039,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Cidra Municipio,Puerto Rico,72,041,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Comerío Municipio,Puerto Rico,72,045,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Corozal Municipio,Puerto Rico,72,047,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Dorado Municipio,Puerto Rico,72,051,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Fajardo Municipio,Puerto Rico,72,053,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Florida Municipio,Puerto Rico,72,054,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Guaynabo Municipio,Puerto Rico,72,061,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Gurabo Municipio,Puerto Rico,72,063,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Humacao Municipio,Puerto Rico,72,069,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Juncos Municipio,Puerto Rico,72,077,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Las Piedras Municipio,Puerto Rico,72,085,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Loíza Municipio,Puerto Rico,72,087,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Luquillo Municipio,Puerto Rico,72,089,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Manatí Municipio,Puerto Rico,72,091,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Maunabo Municipio,Puerto Rico,72,095,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Morovis Municipio,Puerto Rico,72,101,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Naguabo Municipio,Puerto Rico,72,103,Outlying
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Naranjito Municipio,Puerto Rico,72,105,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Orocovis Municipio,Puerto Rico,72,107,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Río Grande Municipio,Puerto Rico,72,119,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",San Juan Municipio,Puerto Rico,72,127,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",San Lorenzo Municipio,Puerto Rico,72,129,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Toa Alta Municipio,Puerto Rico,72,135,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Toa Baja Municipio,Puerto Rico,72,137,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Trujillo Alto Municipio,Puerto Rico,72,139,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Vega Alta Municipio,Puerto Rico,72,143,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Vega Baja Municipio,Puerto Rico,72,145,Central
41980,,490,"San Juan-Bayamón-Caguas, PR",,"San Juan-Bayamón, PR",Yabucoa Municipio,Puerto Rico,72,151,Central
42020,,,"San Luis Obispo-Paso Robles, CA",,,San Luis Obispo County,California,06,079,Central
42100,,488,"Santa Cruz-Watsonville, CA",,"San Jose-San Francisco-Oakland, CA",Santa Cruz County,California,06,087,Central
42140,,106,"Santa Fe, NM",,"Albuquerque-Santa Fe-Las Vegas, NM",Santa Fe County,New Mexico,35,049,Central
42200,,,"Santa Maria-Santa Barbara, CA",,,Santa Barbara County,California,06,083,Central
42220,,488,"Santa Rosa-Petaluma, CA",,"San Jose-San Francisco-Oakland, CA",Sonoma County,California,06,097,Central
42340,,496,"Savannah, GA",,"Savannah-Hinesville-Statesboro, GA",Bryan County,Georgia,13,029,Central
42340,,496,"Savannah, GA",,"Savannah-Hinesville-Statesboro, GA",Chatham County,Georgia,13,051,Central
42340,,496,"Savannah, GA",,"Savannah-Hinesville-Statesboro, GA",Effingham County,Georgia,13,103,Outlying
42540,,,"Scranton--Wilkes-Barre, PA",,,Lackawanna County,Pennsylvania,42,069,Central
42540,,,"Scranton--Wilkes-Barre, PA",,,Luzerne County,Pennsylvania,42,079,Central
42540,,,"Scranton--Wilkes-Barre, PA",,,Wyoming County,Pennsylvania,42,131,Outlying
42660,42644,500,"Seattle-Tacoma-Bellevue, WA","Seattle-Bellevue-Kent, WA","Seattle-Tacoma, WA",King County,Washington,53,033,Central
42660,42644,500,"Seattle-Tacoma-Bellevue, WA","Seattle-Bellevue-Kent, WA","Seattle-Tacoma, WA",Snohomish County,Washington,53,061,Central
42660,45104,500,"Seattle-Tacoma-Bellevue, WA","Tacoma-Lakewood, WA","Seattle-Tacoma, WA",Pierce County,Washington,53,053,Central
42680,,370,"Sebastian-Vero Beach, FL",,"Miami-Port St. Lucie-Fort Lauderdale, FL",Indian River County,Florida,12,061,Central
42700,,,"Sebring-Avon Park, FL",,,Highlands County,Florida,12,055,Central
43100,,,"Sheboygan, WI",,,Sheboygan County,Wisconsin,55,117,Central
43300,,206,"Sherman-Denison, TX",,"Dallas-Fort Worth, TX-OK",Grayson County,Texas,48,181,Central
43340,,508,"Shreveport-Bossier City, LA",,"Shreveport-Bossier City-Minden, LA",Bossier Parish,Louisiana,22,015,Central
43340,,508,"Shreveport-Bossier City, LA",,"Shreveport-Bossier City-Minden, LA",Caddo Parish,Louisiana,22,017,Central
43340,,508,"Shreveport-Bossier City, LA",,"Shreveport-Bossier City-Minden, LA",De Soto Parish,Louisiana,22,031,Outlying
43420,,,"Sierra Vista-Douglas, AZ",,,Cochise County,Arizona,04,003,Central
43580,,,"Sioux City, IA-NE-SD",,,Woodbury County,Iowa,19,193,Central
43580,,,"Sioux City, IA-NE-SD",,,Dakota County,Nebraska,31,043,Central
43580,,,"Sioux City, IA-NE-SD",,,Dixon County,Nebraska,31,051,Outlying
43580,,,"Sioux City, IA-NE-SD",,,Union County,South Dakota,46,127,Central
43620,,,"Sioux Falls, SD",,,Lincoln County,South Dakota,46,083,Central
43620,,,"Sioux Falls, SD",,,McCook County,South Dakota,46,087,Outlying
43620,,,"Sioux Falls, SD",,,Minnehaha County,South Dakota,46,099,Central
43620,,,"Sioux Falls, SD",,,Turner County,South Dakota,46,125,Outlying
43780,,515,"South Bend-Mishawaka, IN-MI",,"South Bend-Elkhart-Mishawaka, IN-MI",St. Joseph County,Indiana,18,141,Central
43780,,515,"South Bend-Mishawaka, IN-MI",,"South Bend-Elkhart-Mishawaka, IN-MI",Cass County,Michigan,26,027,Central
43900,,273,"Spartanburg, SC",,"Greenville-Spartanburg-Anderson, SC",Spartanburg County,South Carolina,45,083,Central
44060,,518,"Spokane-Spokane Valley, WA",,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",Spokane County,Washington,53,063,Central
44060,,518,"Spokane-Spokane Valley, WA",,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",Stevens County,Washington,53,065,Outlying
44100,,522,"Springfield, IL",,"Springfield-Jacksonville-Lincoln, IL",Menard County,Illinois,17,129,Outlying
44100,,522,"Springfield, IL",,"Springfield-Jacksonville-Lincoln, IL",Sangamon County,Illinois,17,167,Central
44140,,,"Springfield, MA",,,Franklin County,Massachusetts,25,011,Outlying
44140,,,"Springfield, MA",,,Hampden County,Massachusetts,25,013,Central
44140,,,"Springfield, MA",,,Hampshire County,Massachusetts,25,015,Central
44180,,,"Springfield, MO",,,Christian County,Missouri,29,043,Central
44180,,,"Springfield, MO",,,Dallas County,Missouri,29,059,Outlying
44180,,,"Springfield, MO",,,Greene County,Missouri,29,077,Central
44180,,,"Springfield, MO",,,Polk County,Missouri,29,167,Outlying
44180,,,"Springfield, MO",,,Webster County,Missouri,29,225,Outlying
44220,,212,"Springfield, OH",,"Dayton-Springfield-Kettering, OH",Clark County,Ohio,39,023,Central
44300,,524,"State College, PA",,"State College-DuBois, PA",Centre County,Pennsylvania,42,027,Central
44420,,277,"Staunton, VA",,"Harrisonburg-Staunton, VA",Augusta County,Virginia,51,015,Central
44420,,277,"Staunton, VA",,"Harrisonburg-Staunton, VA",Staunton city,Virginia,51,790,Central
44420,,277,"Staunton, VA",,"Harrisonburg-Staunton, VA",Waynesboro city,Virginia,51,820,Central
44700,,488,"Stockton, CA",,"San Jose-San Francisco-Oakland, CA",San Joaquin County,California,06,077,Central
44940,,,"Sumter, SC",,,Clarendon County,South Carolina,45,027,Outlying
44940,,,"Sumter, SC",,,Sumter County,South Carolina,45,085,Central
45060,,532,"Syracuse, NY",,"Syracuse-Auburn, NY",Madison County,New York,36,053,Outlying
45060,,532,"Syracuse, NY",,"Syracuse-Auburn, NY",Onondaga County,New York,36,067,Central
45060,,532,"Syracuse, NY",,"Syracuse-Auburn, NY",Oswego County,New York,36,075,Outlying
45220,,,"Tallahassee, FL",,,Gadsden County,Florida,12,039,Outlying
45220,,,"Tallahassee, FL",,,Jefferson County,Florida,12,065,Outlying
45220,,,"Tallahassee, FL",,,Leon County,Florida,12,073,Central
45220,,,"Tallahassee, FL",,,Wakulla County,Florida,12,129,Outlying
45300,,,"Tampa-St. Petersburg-Clearwater, FL",,,Hernando County,Florida,12,053,Outlying
45300,,,"Tampa-St. Petersburg-Clearwater, FL",,,Hillsborough County,Florida,12,057,Central
45300,,,"Tampa-St. Petersburg-Clearwater, FL",,,Pasco County,Florida,12,101,Central
45300,,,"Tampa-St. Petersburg-Clearwater, FL",,,Pinellas County,Florida,12,103,Central
45460,,,"Terre Haute, IN",,,Clay County,Indiana,18,021,Central
45460,,,"Terre Haute, IN",,,Parke County,Indiana,18,121,Outlying
45460,,,"Terre Haute, IN",,,Sullivan County,Indiana,18,153,Outlying
45460,,,"Terre Haute, IN",,,Vermillion County,Indiana,18,165,Outlying
45460,,,"Terre Haute, IN",,,Vigo County,Indiana,18,167,Central
45500,,,"Texarkana, TX-AR",,,Little River County,Arkansas,05,081,Outlying
45500,,,"Texarkana, TX-AR",,,Miller County,Arkansas,05,091,Central
45500,,,"Texarkana, TX-AR",,,Bowie County,Texas,48,037,Central
45540,,422,"The Villages, FL",,"Orlando-Lakeland-Deltona, FL",Sumter County,Florida,12,119,Central
45780,,534,"Toledo, OH",,"Toledo-Findlay-Tiffin, OH",Fulton County,Ohio,39,051,Outlying
45780,,534,"Toledo, OH",,"Toledo-Findlay-Tiffin, OH",Lucas County,Ohio,39,095,Central
45780,,534,"Toledo, OH",,"Toledo-Findlay-Tiffin, OH",Ottawa County,Ohio,39,123,Outlying
45780,,534,"Toledo, OH",,"Toledo-Findlay-Tiffin, OH",Wood County,Ohio,39,173,Central
45820,,,"Topeka, KS",,,Jackson County,Kansas,20,085,Outlying
45820,,,"Topeka, KS",,,Jefferson County,Kansas,20,087,Outlying
45820,,,"Topeka, KS",,,Osage County,Kansas,20,139,Outlying
45820,,,"Topeka, KS",,,Shawnee County,Kansas,20,177,Central
45820,,,"Topeka, KS",,,Wabaunsee County,Kansas,20,197,Outlying
45940,,408,"Trenton-Princeton, NJ",,"New York-Newark, NY-NJ-CT-PA",Mercer County,New Jersey,34,021,Central
46060,,536,"Tucson, AZ",,"Tucson-Nogales, AZ",Pima County,Arizona,04,019,Central
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Creek County,Oklahoma,40,037,Central
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Okmulgee County,Oklahoma,40,111,Outlying
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Osage County,Oklahoma,40,113,Central
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Pawnee County,Oklahoma,40,117,Outlying
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Rogers County,Oklahoma,40,131,Outlying
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Tulsa County,Oklahoma,40,143,Central
46140,,538,"Tulsa, OK",,"Tulsa-Muskogee-Bartlesville, OK",Wagoner County,Oklahoma,40,145,Central
46220,,,"Tuscaloosa, AL",,,Greene County,Alabama,01,063,Outlying
46220,,,"Tuscaloosa, AL",,,Hale County,Alabama,01,065,Outlying
46220,,,"Tuscaloosa, AL",,,Pickens County,Alabama,01,107,Outlying
46220,,,"Tuscaloosa, AL",,,Tuscaloosa County,Alabama,01,125,Central
46300,,,"Twin Falls, ID",,,Jerome County,Idaho,16,053,Outlying
46300,,,"Twin Falls, ID",,,Twin Falls County,Idaho,16,083,Central
46340,,540,"Tyler, TX",,"Tyler-Jacksonville, TX",Smith County,Texas,48,423,Central
46520,,,"Urban Honolulu, HI",,,Honolulu County,Hawaii,15,003,Central
46540,,,"Utica-Rome, NY",,,Herkimer County,New York,36,043,Outlying
46540,,,"Utica-Rome, NY",,,Oneida County,New York,36,065,Central
46660,,,"Valdosta, GA",,,Brooks County,Georgia,13,027,Outlying
46660,,,"Valdosta, GA",,,Echols County,Georgia,13,101,Outlying
46660,,,"Valdosta, GA",,,Lanier County,Georgia,13,173,Outlying
46660,,,"Valdosta, GA",,,Lowndes County,Georgia,13,185,Central
46700,,488,"Vallejo, CA",,"San Jose-San Francisco-Oakland, CA",Solano County,California,06,095,Central
47020,,544,"Victoria, TX",,"Victoria-Port Lavaca, TX",Goliad County,Texas,48,175,Outlying
47020,,544,"Victoria, TX",,"Victoria-Port Lavaca, TX",Victoria County,Texas,48,469,Central
47220,,428,"Vineland-Bridgeton, NJ",,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Cumberland County,New Jersey,34,011,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Camden County,North Carolina,37,029,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Currituck County,North Carolina,37,053,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Gates County,North Carolina,37,073,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Gloucester County,Virginia,51,073,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Isle of Wight County,Virginia,51,093,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",James City County,Virginia,51,095,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Mathews County,Virginia,51,115,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Southampton County,Virginia,51,175,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",York County,Virginia,51,199,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Chesapeake city,Virginia,51,550,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Franklin city,Virginia,51,620,Outlying
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Hampton city,Virginia,51,650,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Newport News city,Virginia,51,700,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Norfolk city,Virginia,51,710,Central
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",,"Virginia Beach-Norfolk, VA-NC",Poquoson city,Virginia,51,735,Central
